,Island,Body Mass cat,Flipper Length cat,Culmen Depth cat,Culmen Length cat
58,Biscoe,ľahký,kratučký,klasický,kratučký
59,Biscoe,ok,krátky,hlboký,kratučký
60,Biscoe,ľahký,kratučký,klasický,kratučký
61,Biscoe,ťažký,normálny,bezodný,krátky
62,Biscoe,ok,kratučký,klasický,kratučký
63,Biscoe,ok,krátky,hlboký,krátky
64,Biscoe,ľahký,kratučký,klasický,kratučký
65,Biscoe,ok,krátky,klasický,krátky
66,Biscoe,ľahký,normálny,menej_plytký,kratučký
67,Biscoe,ok,kratučký,hlboký,krátky
68,Torgersen,ľahký,krátky,klasický,kratučký
69,Torgersen,ťažký,normálny,hlboký,krátky
70,Torgersen,ok,krátky,hlboký,kratučký
71,Torgersen,ok,krátky,hlboký,krátky
72,Torgersen,ok,normálny,klasický,krátky
73,Torgersen,ťažký,normálny,hlboký,normálny
74,Torgersen,ok,krátky,klasický,kratučký
75,Torgersen,ťažký,normálny,hlboký,krátky
76,Torgersen,ok,krátky,klasický,krátky
77,Torgersen,ok,kratučký,hlboký,kratučký
78,Torgersen,ok,kratučký,menej_plytký,kratučký
79,Torgersen,ok,normálny,hlboký,krátky
80,Torgersen,ľahký,krátky,klasický,kratučký
81,Torgersen,ťažký,normálny,klasický,krátky
82,Torgersen,ok,kratučký,hlboký,kratučký
83,Torgersen,ťažký,krátky,hlboký,kratučký
84,Dream,ľahký,krátky,klasický,kratučký
85,Dream,ok,krátky,bezodný,krátky
86,Dream,ok,krátky,hlboký,kratučký
87,Dream,ok,krátky,hlboký,kratučký
88,Dream,ok,krátky,hlboký,krátky
89,Dream,ok,krátky,hlboký,krátky
90,Dream,ok,normálny,klasický,kratučký
91,Dream,ťažký,dlhý,klasický,krátky
92,Dream,ľahký,kratučký,klasický,kratučký
93,Dream,ťažký,kratučký,klasický,krátky
94,Dream,ľahký,kratučký,klasický,kratučký
95,Dream,ťažký,dlhý,hlboký,krátky
96,Dream,ok,krátky,hlboký,krátky
97,Dream,ťažký,normálny,hlboký,krátky
98,Dream,ľahký,kratučký,menej_plytký,kratučký
99,Dream,ok,krátky,hlboký,normálny
100,Biscoe,ok,krátky,klasický,kratučký
101,Biscoe,ťažký,normálny,bezodný,krátky
102,Biscoe,ľahký,kratučký,menej_plytký,krátky
103,Biscoe,ťažký,krátky,bezodný,krátky
104,Biscoe,ľahký,krátky,hlboký,krátky
105,Biscoe,ok,kratučký,hlboký,krátky
106,Biscoe,ok,normálny,klasický,krátky
107,Biscoe,ok,krátky,bezodný,krátky
108,Biscoe,ľahký,kratučký,klasický,krátky
109,Biscoe,ťažký,normálny,hlboký,normálny
110,Biscoe,ok,normálny,klasický,krátky
111,Biscoe,ťažký,krátky,bezodný,normálny
112,Biscoe,ľahký,krátky,klasický,krátky
113,Biscoe,ťažký,normálny,hlboký,krátky
114,Biscoe,ok,krátky,bezodný,krátky
115,Biscoe,ok,normálny,hlboký,krátky
116,Torgersen,ľahký,kratučký,klasický,krátky
117,Torgersen,ok,normálny,bezodný,kratučký
118,Torgersen,ľahký,krátky,klasický,kratučký
119,Torgersen,ľahký,krátky,hlboký,krátky
120,Torgersen,ľahký,kratučký,klasický,kratučký
121,Torgersen,ok,normálny,hlboký,krátky
122,Torgersen,ok,kratučký,klasický,krátky
123,Torgersen,ok,normálny,hlboký,krátky
124,Torgersen,ľahký,kratučký,menej_plytký,kratučký
125,Torgersen,ok,normálny,hlboký,krátky
126,Torgersen,ľahký,krátky,klasický,krátky
127,Torgersen,ťažký,normálny,hlboký,krátky
128,Torgersen,ľahký,krátky,klasický,krátky
129,Torgersen,ok,dlhý,klasický,normálny
130,Torgersen,ľahký,krátky,klasický,krátky
131,Torgersen,ok,normálny,hlboký,krátky
132,Dream,ok,krátky,hlboký,kratučký
133,Dream,ťažký,normálny,hlboký,kratučký
134,Dream,ok,kratučký,klasický,krátky
135,Dream,ok,krátky,klasický,krátky
136,Dream,ľahký,krátky,klasický,kratučký
137,Dream,ok,normálny,bezodný,krátky
138,Dream,ľahký,kratučký,klasický,kratučký
139,Dream,ťažký,krátky,klasický,krátky
140,Dream,ľahký,krátky,klasický,krátky
141,Dream,ok,kratučký,klasický,krátky
142,Dream,ľahký,kratučký,menej_plytký,kratučký
143,Dream,ok,krátky,klasický,krátky
144,Dream,ľahký,krátky,klasický,kratučký
145,Dream,ok,kratučký,hlboký,krátky
146,Dream,ťažký,krátky,hlboký,krátky
147,Dream,ok,kratučký,hlboký,kratučký
148,Dream,ok,normálny,klasický,kratučký
149,Dream,ok,krátky,klasický,krátky
150,Dream,ok,kratučký,klasický,kratučký
151,Dream,ok,normálny,hlboký,krátky
152,Dream,ok,krátky,klasický,normálny
153,Dream,ok,normálny,hlboký,dlhý
154,Dream,ok,krátky,hlboký,dlhý
155,Dream,ok,kratučký,hlboký,normálny
156,Dream,ok,normálny,hlboký,dlhý
157,Dream,ok,normálny,klasický,normálny
158,Dream,ľahký,kratučký,hlboký,normálny
159,Dream,ok,normálny,hlboký,dlhý
160,Dream,ťažký,normálny,hlboký,normálny
161,Dream,ok,normálny,bezodný,dlhý
162,Dream,ok,krátky,klasický,normálny
163,Dream,ok,krátky,bezodný,dlhý
164,Dream,ok,kratučký,klasický,normálny
165,Dream,ok,normálny,klasický,dlhý
166,Dream,ok,krátky,klasický,normálny
167,Dream,ok,normálny,hlboký,dlhý
168,Dream,ľahký,normálny,bezodný,dlhý
169,Dream,ok,kratučký,klasický,dlhatý
170,Dream,ok,krátky,hlboký,normálny
171,Dream,ťažký,normálny,hlboký,dlhý
172,Dream,ok,kratučký,klasický,krátky
173,Dream,ľahký,krátky,klasický,normálny
174,Dream,ľahký,kratučký,klasický,normálny
175,Dream,ok,krátky,hlboký,dlhý
176,Dream,ľahký,normálny,klasický,normálny
177,Dream,ťažký,normálny,hlboký,dlhý
178,Dream,ľahký,normálny,hlboký,dlhý
179,Dream,ok,normálny,hlboký,dlhý
180,Dream,ok,krátky,klasický,normálny
181,Dream,ťažký,dlhý,bezodný,dlhý
182,Dream,ľahký,kratučký,klasický,krátky
183,Dream,ťažký,normálny,bezodný,dlhatý
184,Dream,ľahký,kratučký,klasický,krátky
185,Dream,ok,normálny,hlboký,dlhý
186,Dream,ok,normálny,hlboký,dlhý
187,Dream,ok,normálny,klasický,normálny
188,Dream,ok,normálny,hlboký,normálny
189,Dream,ťažký,dlhý,bezodný,dlhý
190,Dream,ľahký,krátky,klasický,normálny
191,Dream,ťažký,dlhý,bezodný,dlhý
192,Dream,ok,dlhý,hlboký,dlhý
193,Dream,ok,kratučký,klasický,normálny
194,Dream,ok,normálny,hlboký,dlhý
195,Dream,ok,normálny,klasický,normálny
196,Dream,ok,normálny,klasický,dlhý
197,Dream,ťažký,normálny,hlboký,dlhý
198,Dream,ľahký,krátky,klasický,dlhý
199,Dream,ťažký,dlhý,hlboký,dlhý
200,Dream,ľahký,kratučký,hlboký,dlhý
201,Dream,ok,normálny,klasický,dlhý
202,Dream,ľahký,normálny,menej_plytký,normálny
203,Dream,ok,normálny,hlboký,dlhý
204,Dream,ok,krátky,klasický,normálny
205,Dream,ok,normálny,hlboký,dlhý
206,Dream,ľahký,kratučký,klasický,krátky
207,Dream,ok,normálny,hlboký,dlhý
208,Dream,ľahký,krátky,klasický,normálny
209,Dream,ok,normálny,bezodný,dlhý
210,Dream,ok,normálny,hlboký,dlhý
211,Dream,ok,krátky,hlboký,normálny
212,Dream,ok,dlhý,hlboký,dlhý
213,Dream,ok,krátky,klasický,normálny
214,Dream,ok,normálny,klasický,normálny
215,Dream,ok,dlhý,hlboký,dlhatý
216,Dream,ľahký,normálny,klasický,normálny
217,Dream,ok,krátky,hlboký,dlhý
218,Dream,ok,dlhý,hlboký,dlhý
219,Dream,ok,normálny,hlboký,dlhý
220,Biscoe,ťažký,dlhý,plytký,normálny
221,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
222,Biscoe,ťažký,dlhý,plytký,dlhý
223,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
224,Biscoe,masívny,dlhý,plytký,normálny
225,Biscoe,ťažký,dlhý,plytký,normálny
226,Biscoe,ťažký,dlhý,plytký,normálny
227,Biscoe,masívny,dlhatý,menej_plytký,normálny
228,Biscoe,ťažký,dlhý,plytký,normálny
229,Biscoe,masívny,dlhý,menej_plytký,normálny
230,Biscoe,ťažký,dlhý,plytký,krátky
231,Biscoe,masívny,dlhatý,menej_plytký,dlhý
232,Biscoe,ťažký,dlhý,plytký,normálny
233,Biscoe,monumentálny,dlhý,plytký,normálny
234,Biscoe,ťažký,dlhý,plytký,normálny
235,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
236,Biscoe,ťažký,dlhý,plytký,krátky
237,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
238,Biscoe,ťažký,dlhý,plytký,normálny
239,Biscoe,masívny,dlhatý,menej_plytký,dlhý
240,Biscoe,monumentálny,dlhatý,plytký,dlhý
241,Biscoe,masívny,dlhý,plytký,normálny
242,Biscoe,ťažký,dlhý,plytký,normálny
243,Biscoe,masívny,dlhý,menej_plytký,normálny
244,Biscoe,masívny,dlhý,plytký,krátky
245,Biscoe,masívny,dlhý,menej_plytký,normálny
246,Biscoe,ok,dlhatý,plytký,normálny
247,Biscoe,monumentálny,dlhý,menej_plytký,normálny
248,Biscoe,ťažký,dlhý,plytký,normálny
249,Biscoe,masívny,dlhatý,menej_plytký,dlhý
250,Biscoe,masívny,dlhatý,menej_plytký,normálny
251,Biscoe,ťažký,dlhý,plytký,krátky
252,Biscoe,masívny,dlhý,plytký,normálny
253,Biscoe,monumentálny,dlhatý,klasický,dlhatý
254,Biscoe,masívny,dlhatý,menej_plytký,dlhý
255,Biscoe,masívny,dlhatý,menej_plytký,normálny
256,Biscoe,masívny,dlhý,plytký,krátky
257,Biscoe,masívny,dlhatý,klasický,normálny
258,Biscoe,ťažký,dlhý,plytký,normálny
259,Biscoe,masívny,dlhý,menej_plytký,dlhý
260,Biscoe,ok,dlhý,plytký,krátky
261,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
262,Biscoe,ťažký,dlhý,plytký,normálny
263,Biscoe,ťažký,dlhatý,menej_plytký,dlhý
264,Biscoe,masívny,dlhatý,menej_plytký,dlhý
265,Biscoe,masívny,dlhatý,plytký,normálny
266,Biscoe,ťažký,dlhý,plytký,normálny
267,Biscoe,masívny,dlhatý,menej_plytký,dlhý
268,Biscoe,masívny,dlhý,plytký,normálny
269,Biscoe,masívny,dlhý,menej_plytký,normálny
270,Biscoe,ťažký,dlhý,plytký,normálny
271,Biscoe,masívny,dlhatý,plytký,normálny
272,Biscoe,ťažký,dlhý,plytký,normálny
273,Biscoe,masívny,dlhatý,menej_plytký,dlhý
274,Biscoe,masívny,dlhatý,plytký,normálny
275,Biscoe,masívny,dlhatý,menej_plytký,normálny
276,Biscoe,ťažký,dlhý,plytký,normálny
277,Biscoe,masívny,dlhatý,menej_plytký,normálny
278,Biscoe,ťažký,dlhý,plytký,normálny
279,Biscoe,masívny,dlhatý,menej_plytký,dlhý
280,Biscoe,ťažký,dlhý,plytký,normálny
281,Biscoe,masívny,dlhatý,menej_plytký,normálny
282,Biscoe,ťažký,dlhý,plytký,normálny
283,Biscoe,monumentálny,dlhatý,menej_plytký,dlhatý
284,Biscoe,ťažký,dlhatý,plytký,normálny
285,Biscoe,monumentálny,dlhatý,klasický,dlhý
286,Biscoe,ťažký,dlhý,plytký,normálny
287,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
288,Biscoe,ťažký,dlhatý,plytký,normálny
289,Biscoe,masívny,dlhatý,menej_plytký,dlhý
290,Biscoe,ťažký,dlhatý,menej_plytký,normálny
291,Biscoe,masívny,dlhatý,menej_plytký,normálny
292,Biscoe,masívny,dlhatý,menej_plytký,normálny
293,Biscoe,masívny,dlhatý,menej_plytký,normálny
294,Biscoe,ťažký,dlhatý,menej_plytký,normálny
295,Biscoe,monumentálny,dlhatý,menej_plytký,normálny
296,Biscoe,ťažký,dlhý,plytký,normálny
297,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
298,Biscoe,ťažký,dlhý,plytký,normálny
299,Biscoe,monumentálny,dlhatý,menej_plytký,normálny
300,Biscoe,ťažký,dlhý,plytký,dlhý
301,Biscoe,masívny,dlhatý,menej_plytký,dlhý
302,Biscoe,ťažký,dlhý,plytký,normálny
303,Biscoe,masívny,dlhatý,menej_plytký,dlhý
304,Biscoe,ťažký,dlhý,plytký,normálny
305,Biscoe,monumentálny,dlhatý,klasický,dlhý
306,Biscoe,ťažký,dlhatý,plytký,normálny
307,Biscoe,masívny,dlhatý,plytký,dlhý
308,Biscoe,masívny,dlhý,plytký,normálny
309,Biscoe,masívny,dlhatý,klasický,dlhý
310,Biscoe,masívny,dlhatý,menej_plytký,normálny
311,Biscoe,masívny,dlhatý,klasický,dlhý
312,Biscoe,ťažký,dlhý,plytký,normálny
313,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
314,Biscoe,ťažký,dlhý,plytký,normálny
315,Biscoe,masívny,dlhatý,menej_plytký,dlhý
316,Biscoe,masívny,dlhatý,menej_plytký,dlhý
317,Biscoe,masívny,dlhatý,plytký,normálny
318,Biscoe,ťažký,normálny,plytký,normálny
319,Biscoe,masívny,dlhatý,klasický,dlhý
320,Biscoe,ťažký,dlhatý,menej_plytký,normálny
321,Biscoe,monumentálny,dlhatý,klasický,dlhatý
322,Biscoe,masívny,dlhý,menej_plytký,normálny
323,Biscoe,masívny,dlhatý,menej_plytký,dlhý
324,Biscoe,ťažký,dlhatý,plytký,normálny
325,Biscoe,masívny,dlhý,menej_plytký,normálny
326,Biscoe,ťažký,dlhý,plytký,krátky
327,Biscoe,masívny,dlhatý,menej_plytký,dlhý
328,Biscoe,ťažký,dlhý,plytký,normálny
329,Biscoe,masívny,dlhý,menej_plytký,normálny
330,Biscoe,masívny,dlhatý,menej_plytký,dlhý
331,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
332,Biscoe,ťažký,dlhý,menej_plytký,normálny
333,Biscoe,masívny,dlhatý,menej_plytký,dlhý
334,Biscoe,ťažký,dlhatý,plytký,normálny
335,Biscoe,monumentálny,dlhatý,menej_plytký,dlhatý
336,Biscoe,masívny,dlhatý,menej_plytký,normálny
337,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
338,Biscoe,masívny,dlhý,plytký,normálny
340,Biscoe,ťažký,dlhý,plytký,normálny
341,Biscoe,monumentálny,dlhatý,menej_plytký,dlhý
342,Biscoe,masívny,dlhý,menej_plytký,normálny
343,Biscoe,masívny,dlhý,menej_plytký,dlhý
